FORMA TERAPEUTICA;DESCRIPCION;MINIMO;MAXIMO_NO HOSPITALIZADOS;MAXIMO_HOSPITALIZADOS;NIVEL DE EESS;ACCION;;;
INY;Solución para inyección, suspensión para inyeccion, polvo para suspension inyectable, polvo para solucion inyectable, polvo liofilizado para solucion inyectable, emulsión para inyección, concentrado para infusión intravenosa.;0;100;;II;No dejar grabar si sobrepasa el tope máximo;;;
INY;Solución para inyección, suspensión para inyeccion, polvo para suspension inyectable, polvo para solucion inyectable, polvo liofilizado para solucion inyectable, emulsión para inyección, concentrado para infusión intravenosa.;0;400;;III;No dejar grabar si sobrepasa el tope máximo;;;
JABON ;Jabon barra;0;10;10;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
JABON LIQUIDO;Jabon Liquido;0;10;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
JALEA;Jalea;0;1;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
JBE;Jarabe;0;4;6;I;No dejar grabar si sobrepasa el tope máximo;;;
JBE;Jarabe;0;16;16;II, III;No dejar grabar si sobrepasa el tope máximo;;;
KIT;Kit;0;2;2;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
LIQ - INH;Liquido para inhalación;0;1;2;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
LOC;Loción;0;2;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
ML;Mililitro;0;100;200;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
OVU;Ovulos;0;20;20;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
PARCHE;Parche;0;5;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
POM;Pomada;0;2;5;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
POT;Pote;0;1;2;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
SB1;Sobre multimicronutriente;0;90;90;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
SOB;Sobre;0;10;10;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
SOL NBZ;Solución para nebulizacion;0;1;2;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
SOL REC;Solucion rectal;0;6;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
SOL_OFT;Solución oftalmologica;0;2;2;I, II;No dejar grabar si sobrepasa el tope máximo;;;
SOL_OFT;Solución oftalmologica;0;10;2;III;No dejar grabar si sobrepasa el tope máximo;;;
SOL OTI;Solución otica;0;2;2;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
SPR;Spray para aplicación topica;0;2;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
SUPOS;Supositorio;0;28;10;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
SUS;Suspensión;0;4 (13);6;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
SUS REC;Suspensión rectal;0;4;10;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
SUS_OFT;Suspensión oftalmica;0;2;2;I, II;No dejar grabar si sobrepasa el tope máximo;;;
SUS_OFT;Suspensión oftalmica;0;10;2;III;No dejar grabar si sobrepasa el tope máximo;;;
TAB (4) (12) (16);Tableta;0;120(14)(19);;I, II;No dejar grabar si sobrepasa el tope máximo;;;
TAB (4) (12) (16);Tableta;0;370;;III;No dejar grabar si sobrepasa el tope máximo;;;
TAB LIB PRO;Tableta de liberación prolongada, tableta de liberación retardada, tableta de liberación extendida, capsula de liberación extendida, capsula de liberación sostenida, capsula de liberación prolongada;0;120;120;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
TAB RAN;Tableta ranurada, comprimido ranurado;0;120;120;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
TAB SL;Tableta sublingual;0;120;120;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
TAB VAG;Tableta vaginal;0;20;20;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
TAB_LM;Tableta de liberación moderada;0;120;120;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
TIN;Tintura;0;2;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
UNG;Ungüento para aplicación topica;0;2;2;I, II;No dejar grabar si sobrepasa el tope máximo;;;
UNG;Ungüento para aplicación topica;0;4;2;III;No dejar grabar si sobrepasa el tope máximo;;;
UNG_OFT;Ungüento oftalmico;0;2;5;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
BLIS;BLISTER;0;4;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
UNI;UNIDAD;0;30;30;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
PLV  ;POLVO ;0;20(10);15;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
SOL;SOLUCIÓN ;0;100 (7);40  (7);I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
AER;AEROSOL;0;4 (6)(17);4 (6);I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
GRANU;GRANULADO;0;20;10;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
